2025-12-11 15:30:32,354 - [2025-12-11 15:30:32] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 0.0, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:30:34,906 - [2025-12-11 15:30:34] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 0.0, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:30:36,515 - [2025-12-11 15:30:36] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 0.0, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:30:38,514 - [2025-12-11 15:30:38] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 0.0, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:30:41,068 - [2025-12-11 15:30:41] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 0.0, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:30:42,675 - [2025-12-11 15:30:42] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 0.0, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:31:13,472 - ========================================== mqtt pending ==========================================
2025-12-11 15:36:10,601 - [2025-12-11 15:36:10] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:12,603 - [2025-12-11 15:36:12] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:14,676 - [2025-12-11 15:36:14] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:16,676 - [2025-12-11 15:36:16] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
